clip_id,bird_name,scientific_name,family,xeno_canto_recording_id,recordist,source_url,license_name,license_url,original_length_seconds,clip_start_seconds,clip_end_seconds,clip_length_seconds,modified,commercial_allowed,derivatives_allowed,share_alike_required,app_safe,app_safe_reason
1087,Baltimore Oriole,Icterus galbula,Blackbirds (Icteridae),1014854,Stanislas Wroza,https://xeno-canto.org/1014854,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,69.0,13.0,33.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
1081,Bananaquit,Coereba flaveola,Tanagers and Allies (Thraupidae),778612,ABirder,https://xeno-canto.org/778612,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,25.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
407,Band-rumped Storm-Petrel,Hydrobates castro,Northern Storm-Petrels (Hydrobatidae),1051036,Saxony Charlot,https://xeno-canto.org/1051036,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,59.0,9.67,29.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
119,Band-tailed Pigeon,Patagioenas fasciata,Pigeons and Doves (Columbidae),491897,Paul Marvin,https://xeno-canto.org/491897,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,11.0,0.0,11.0,11.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
728,Bank Swallow,Riparia riparia,Swallows (Hirundinidae),781088,Paul Driver,https://xeno-canto.org/781088,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,6.0,0.0,6.0,6.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
240,Bar-tailed Godwit,Limosa lapponica,"Sandpipers, Phalaropes, and Allies (Scolopacidae)",135141,Andrew Spencer,https://xeno-canto.org/135141,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,57.0,9.0,29.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
472,Bare-throated Tiger-Heron,Tigrisoma mexicanum,"Bitterns, Herons, and Allies (Ardeidae)",964416,Bill Pyle,https://xeno-canto.org/964416,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,78.0,16.0,36.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
740,Barn Swallow,Hirundo rustica,Swallows (Hirundinidae),129647,Thomas G. Graves,https://xeno-canto.org/129647,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,106.0,25.33,45.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
13,Barnacle Goose,Branta leucopsis,"Ducks, Geese, and Swans (Anatidae)",946834,Ulf Elman,https://xeno-canto.org/946834,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,109.0,26.33,46.33,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
447,Barolo Shearwater,Puffinus baroli,Shearwaters and Petrels (Procellariidae),565411,Rinse van der Vliet,https://xeno-canto.org/565411,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,20.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
542,Barred Owl,Strix varia,Typical Owls (Strigidae),956792,Kayla Brown,https://xeno-canto.org/956792,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,33.0,1.0,21.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
64,Barrow's Goldeneye,Bucephala islandica,"Ducks, Geese, and Swans (Anatidae)",381532,Walter Szeliga,https://xeno-canto.org/381532,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,94.0,21.33,41.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
592,Bat Falcon,Falco rufigularis,Caracaras and Falcons (Falconidae),706118,Sue Riffe,https://xeno-canto.org/706118,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,15.0,0.0,15.0,15.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
1032,Bay-breasted Warbler,Setophaga castanea,Wood-Warblers (Parulidae),1036962,Bobby Wilcox,https://xeno-canto.org/1036962,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,51.0,7.0,27.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
1102,Bay-breasted Warbler,Setophaga castanea,Wood-Warblers (Parulidae),1082107,David Darrell-Lambert,https://xeno-canto.org/1082107,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,4.0,0.0,4.0,4.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
360,Belcher's Gull,Larus belcheri,"Gulls, Terns, and Skimmers (Laridae)",355170,Jacek Betleja,https://xeno-canto.org/355170,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,39.0,3.0,23.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
954,Bell's Sparrow,Artemisiospiza belli,Towhees and Sparrows (Passerellidae),802619,Paul Marvin,https://xeno-canto.org/802619,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,47.0,5.67,25.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
664,Bell's Vireo,Vireo bellii,Vireos (Vireonidae),1088526,Scott Crabtree,https://xeno-canto.org/1088526,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,95.0,21.67,41.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
